,Year,Month,Cost Centre,Account,Account Type,Amount
0,2019,Jan,CC100,ACC1000000,Revenue,1344.051
1,2019,Jan,CC100,ACC1000001,Revenue,480.968
2,2019,Jan,CC100,ACC1000002,Revenue,650.82
3,2019,Jan,CC100,ACC1000004,Revenue,339.36
4,2019,Jan,CC100,ACC2000000,Expense,1125.328
5,2019,Jan,CC100,ACC2000001,Expense,412.088
6,2019,Jan,CC100,ACC2000002,Expense,259.488
7,2019,Jan,CC100,ACC2000003,Expense,376.697
8,2019,Jan,CC100,ACC2000005,Expense,1105.277
9,2019,Jan,CC100,ACC3000000,Asset,476.713
11,2019,Jan,CC100,ACC3000002,Asset,385.275
12,2019,Jan,CC100,ACC4000001,Liability,980.0
13,2019,Jan,CC101,ACC1000000,Revenue,1296.06
14,2019,Jan,CC101,ACC1000001,Revenue,459.764
15,2019,Jan,CC101,ACC1000002,Revenue,512.169
16,2019,Jan,CC101,ACC1000004,Revenue,732.538
17,2019,Jan,CC101,ACC2000000,Expense,1404.449
18,2019,Jan,CC101,ACC2000001,Expense,584.214
19,2019,Jan,CC101,ACC2000002,Expense,306.435
20,2019,Jan,CC101,ACC2000003,Expense,318.227
21,2019,Jan,CC101,ACC2000005,Expense,1531.884
22,2019,Jan,CC101,ACC3000000,Asset,464.197
24,2019,Jan,CC101,ACC3000002,Asset,491.607
25,2019,Jan,CC101,ACC4000001,Liability,200.0
26,2019,Jan,CC102,ACC1000000,Revenue,244.447
27,2019,Jan,CC102,ACC1000001,Revenue,776.767
28,2019,Jan,CC102,ACC1000002,Revenue,872.102
29,2019,Jan,CC102,ACC1000004,Revenue,690.433
30,2019,Jan,CC102,ACC2000000,Expense,53.563
31,2019,Jan,CC102,ACC2000001,Expense,529.574
32,2019,Jan,CC102,ACC2000002,Expense,450.893
33,2019,Jan,CC102,ACC2000003,Expense,454.857
34,2019,Jan,CC102,ACC2000005,Expense,43.042
35,2019,Jan,CC102,ACC3000000,Asset,-296.261
37,2019,Jan,CC102,ACC3000002,Asset,158.931
38,2019,Jan,CC102,ACC4000001,Liability,-980.0
39,2019,Jan,CC200,ACC1000000,Revenue,994.789
40,2019,Jan,CC200,ACC1000001,Revenue,588.279
41,2019,Jan,CC200,ACC1000002,Revenue,1742.302
42,2019,Jan,CC200,ACC1000004,Revenue,530.11
43,2019,Jan,CC200,ACC2000000,Expense,584.731
44,2019,Jan,CC200,ACC2000001,Expense,777.393
45,2019,Jan,CC200,ACC2000002,Expense,574.708
46,2019,Jan,CC200,ACC2000003,Expense,589.561
47,2019,Jan,CC200,ACC2000005,Expense,461.786
48,2019,Jan,CC200,ACC3000000,Asset,750.0
50,2019,Jan,CC200,ACC3000002,Asset,218.042
51,2019,Jan,CC200,ACC4000001,Liability,980.0
52,2019,Jan,CC201,ACC1000000,Revenue,2378.88
53,2019,Jan,CC201,ACC1000001,Revenue,376.104
54,2019,Jan,CC201,ACC1000002,Revenue,1193.08
55,2019,Jan,CC201,ACC1000004,Revenue,781.038
56,2019,Jan,CC201,ACC2000000,Expense,1264.076
57,2019,Jan,CC201,ACC2000001,Expense,817.735
58,2019,Jan,CC201,ACC2000002,Expense,513.023
59,2019,Jan,CC201,ACC2000003,Expense,625.571
60,2019,Jan,CC201,ACC2000005,Expense,974.798
61,2019,Jan,CC201,ACC3000000,Asset,187.647
63,2019,Jan,CC201,ACC3000002,Asset,881.297
64,2019,Jan,CC201,ACC4000001,Liability,784.0
65,2019,Jan,CC202,ACC1000000,Revenue,783.856
66,2019,Jan,CC202,ACC1000001,Revenue,573.845
67,2019,Jan,CC202,ACC1000002,Revenue,265.003
68,2019,Jan,CC202,ACC1000004,Revenue,133.666
69,2019,Jan,CC202,ACC2000000,Expense,586.154
70,2019,Jan,CC202,ACC2000001,Expense,194.364
71,2019,Jan,CC202,ACC2000002,Expense,114.917
72,2019,Jan,CC202,ACC2000003,Expense,116.201
73,2019,Jan,CC202,ACC2000005,Expense,205.299
74,2019,Jan,CC202,ACC3000000,Asset,-852.126
76,2019,Jan,CC202,ACC3000002,Asset,217.414
77,2019,Jan,CC202,ACC4000001,Liability,-588.0
78,2019,Jan,CC300,ACC1000000,Revenue,233.953
