no,id_user,kategori
0,51,Cafe
1,2854,Butik
2,2874,Toko Kelontong
3,2887,Cafe
4,2939,Toko Kelontong
5,2926,Olshop
6,2967,Cafe
7,3073,Toko Kelontong
8,3197,Cafe
9,3371,Counter pulsa
10,3429,Minimarket
11,3437,Minimarket
12,3448,Minimarket
13,3462,Minimarket
14,3487,Toko Kelontong
15,3415,Olshop
16,3494,Toko Kelontong
17,3517,Counter pulsa
18,3537,Cafe
19,3552,Cafe
20,3568,Olshop
21,3613,Cafe
22,3616,Toko Kelontong
23,3624,Bengkel
24,3631,Counter pulsa
25,3640,Toko Kelontong
26,3661,Minimarket
27,3682,Cafe
28,3690,Restoran
29,3708,Olshop
30,3779,Toko Kelontong
31,3784,Toko Kelontong
32,3793,Olshop
33,3250,Olshop
34,3888,Counter pulsa
35,3895,Cafe
36,3936,Restoran
37,3982,Olshop
38,3991,Toko Kelontong
39,3945,Toko Kelontong
40,4012,Cafe
41,4031,Counter pulsa
42,4045,Minimarket
43,4121,Cafe
44,4130,Toko Kelontong
45,4189,Toko Kelontong
46,4207,Counter pulsa
47,4213,Counter pulsa
48,4214,Olshop
49,4026,Counter pulsa
50,4252,Toko Kelontong
51,4258,Toko Kelontong
52,4286,Minimarket
53,4306,Counter pulsa
54,4336,Cafe
55,4411,Warung
56,4412,Kaki Lima
57,4490,Minimarket
58,4492,Counter pulsa
59,4500,Kaki Lima
60,4486,Olshop
61,4538,Toko Kelontong
62,4547,Counter pulsa
63,4546,Warung
64,4568,Butik
65,2602,Minimarket
66,4614,Cafe
67,4627,Toko Kelontong
68,3230,Counter pulsa
69,4739,Toko Kelontong
70,4766,Cafe
71,4777,Warung
72,4778,Cafe
73,4783,Butik
74,4791,Warung
75,4880,Cafe
76,4890,Toko Kelontong
77,4903,Olshop
78,4928,Restoran
79,4950,Cafe
80,4962,Olshop
81,4966,Cafe
82,4979,Toko Kelontong
83,4993,Counter pulsa
84,4997,Cafe
85,5012,Counter pulsa
86,5022,Counter pulsa
87,5037,Cafe
88,5042,Toko Kelontong
89,5058,Toko Kelontong
90,5077,Cafe
91,5104,Olshop
92,5135,Cafe
93,5141,Minimarket
94,5151,Warung
95,5173,Kaki Lima
96,5178,Cafe
97,4924,Warung
98,5232,Toko Kelontong
99,5229,Cafe
100,5263,Olshop
101,5302,Counter pulsa
102,5309,Toko Kelontong
103,5321,Butik
104,5331,Toko Kelontong
105,5345,Toko Kelontong
106,5351,Restoran
107,5354,Counter pulsa
108,5317,Olshop
109,5376,Minimarket
110,5396,Toko Kelontong
111,5403,Minimarket
112,5407,Cafe
113,5431,Olshop
114,5473,Toko Kelontong
115,5429,Counter pulsa
116,5476,Cafe
117,5511,Restoran
118,5514,Restoran
119,5527,Counter pulsa
120,5535,Restoran
121,5539,Toko Kelontong
122,5626,Butik
123,5653,Butik
124,307,Olshop
125,5728,Olshop
126,5736,Restoran
127,5742,Cafe
128,5748,Counter pulsa
129,5772,Counter pulsa
130,5771,Bengkel
131,5033,Minimarket
132,5805,Restoran
133,5815,Toko Kelontong
134,5823,Cafe
135,5870,Toko Kelontong
136,5885,Olshop
137,5922,Butik
138,5648,Counter pulsa
139,5995,Minimarket
140,5976,Toko Kelontong
141,5931,Olshop
142,5996,Kaki Lima
143,6013,Counter pulsa
144,6081,Counter pulsa
145,6085,Toko Kelontong
146,6134,Butik
147,6189,Toko Kelontong
148,6214,Counter pulsa
149,6228,Toko Kelontong
150,5496,Butik
151,6301,Warung
152,6331,Toko Kelontong
153,6337,Warung
154,6349,Warung
155,6357,Olshop
156,6376,Restoran
157,6254,Minimarket
158,6437,Cafe
159,6469,Toko Kelontong
160,6513,Restoran
161,6514,Counter pulsa
162,6532,Toko Kelontong
163,6393,Toko Kelontong
164,6563,Toko Kelontong
165,6609,Toko Kelontong
166,6612,Counter pulsa
167,6616,Minimarket
168,6642,Restoran
169,6646,Toko Kelontong
170,6671,Cafe
171,6675,Cafe
172,6679,Toko Kelontong
173,6628,Toko Kelontong
174,6686,Cafe
175,6608,Butik
176,2542,Toko Kelontong
177,6717,Toko Kelontong
178,6722,Minimarket
179,6725,Warung
180,6734,Restoran
181,6736,Olshop
182,6718,Counter pulsa
183,6757,Olshop
184,6870,Toko Kelontong
185,6873,Kaki Lima
186,6902,Warung
187,6589,Kaki Lima
188,6895,Toko Kelontong
189,6933,Cafe
190,6981,Cafe
191,7000,Kaki Lima
192,7037,Cafe
193,7048,Toko Kelontong
194,7059,Toko Kelontong
195,7062,Cafe
196,7065,Butik
197,7067,Cafe
198,7103,Cafe
199,7106,Cafe
200,7064,Cafe
201,7156,Counter pulsa
202,4657,Counter pulsa
203,43,Cafe
204,7270,Toko Kelontong
205,7239,Olshop
206,7168,Olshop
207,7320,Counter pulsa
208,6901,Toko Kelontong
209,7429,Toko Kelontong
210,7440,Toko Kelontong
211,7388,Toko Kelontong
212,7478,Olshop
213,7479,Toko Kelontong
214,7498,Counter pulsa
215,7547,Toko Kelontong
216,7560,Toko Kelontong
217,7592,Minimarket
218,7618,Cafe
219,7610,Olshop
220,7617,Toko Kelontong
221,7624,Toko Kelontong
222,7653,Toko Kelontong
223,7678,Cafe
224,7680,Cafe
225,7681,Butik
226,7685,Butik
227,7694,Restoran
228,7701,Butik
229,7721,Minimarket
230,7731,Counter pulsa
231,7749,Toko Kelontong
232,7759,Counter pulsa
233,7797,Cafe
234,7807,Kaki Lima
235,7817,Toko Kelontong
236,7839,Warung
237,7849,Toko Kelontong
238,7910,Olshop
239,7913,Olshop
240,7921,Bengkel
241,7945,Cafe
242,7970,Minimarket
243,7989,Kaki Lima
244,3316,Minimarket
245,8056,Counter pulsa
246,8068,Butik
247,8020,Cafe
248,8006,Warung
249,8092,Cafe
250,7960,Toko Kelontong
251,8108,Cafe
252,8155,Toko Kelontong
253,8164,Counter pulsa
254,8181,Counter pulsa
255,8199,Butik
256,8206,Warung
257,8318,Toko Kelontong
258,8336,Restoran
259,8226,Toko Kelontong
260,8351,Minimarket
261,8369,Kaki Lima
262,8379,Toko Kelontong
263,8286,Toko Kelontong
264,8416,Minimarket
265,8246,Counter pulsa
266,8443,Toko Kelontong
267,8475,Olshop
268,7244,Cafe
269,7868,Olshop
270,7376,Warung
271,8597,Cafe
272,8600,Cafe
273,8614,Cafe
274,8659,Cafe
275,8717,Olshop
276,8751,Warung
277,8780,Warung
278,8794,Cafe
279,8807,Butik
280,8819,Bengkel
281,8663,Toko Kelontong
282,8883,Bengkel
283,8072,Toko Kelontong
284,8891,Butik
285,8810,Toko Kelontong
286,8897,Counter pulsa
287,8625,Olshop
288,8987,Warung
289,9005,Olshop
290,9022,Cafe
291,8997,Cafe
292,9040,Cafe
293,9049,Butik
294,9063,Bengkel
295,9072,Toko Kelontong
296,9088,Warung
297,9129,Olshop
298,9130,Toko Kelontong
299,9135,Toko Kelontong
300,8960,Minimarket
301,9142,Butik
302,9067,Toko Kelontong
303,9169,Counter pulsa
304,9203,Cafe
305,9261,Toko Kelontong
306,9271,Cafe
307,9280,Toko Kelontong
308,9301,Butik
309,9408,Minimarket
310,8264,Bengkel
311,9441,Cafe
312,9412,Toko Kelontong
313,9476,Warung
314,9425,Butik
315,9501,Cafe
316,9519,Counter pulsa
317,9485,Toko Kelontong
318,9500,Olshop
319,9404,Olshop
320,9564,Olshop
321,9567,Counter pulsa
322,9649,Counter pulsa
323,9616,Counter pulsa
324,9636,Toko Kelontong
325,9683,Counter pulsa
326,9696,Counter pulsa
327,7311,Counter pulsa
328,9378,Butik
329,9751,Counter pulsa
330,9754,Cafe
331,9778,Counter pulsa
332,9804,Olshop
333,9816,Kaki Lima
334,9737,Toko Kelontong
335,9843,Counter pulsa
336,9853,Cafe
337,9864,Restoran
338,9870,Olshop
339,9866,Cafe
340,9886,Warung
341,9980,Cafe
342,10025,Olshop
343,10009,Toko Kelontong
344,10058,Butik
345,10114,Warung
346,10142,Toko Kelontong
347,10162,Toko Kelontong
348,10106,Butik
349,5750,Minimarket
350,10176,Toko Kelontong
351,10198,Toko Kelontong
352,10211,Cafe
353,10191,Toko Kelontong
354,10274,Cafe
355,10310,Toko Kelontong
356,10337,Counter pulsa
357,10353,Toko Kelontong
358,10304,Olshop
359,10363,Olshop
360,10407,Counter pulsa
361,10426,Toko Kelontong
362,10438,Olshop
363,10458,Counter pulsa
364,10492,Olshop
365,10498,Cafe
366,10503,Olshop
367,1795,Olshop
368,10526,Counter pulsa
369,10545,Toko Kelontong
370,10552,Counter pulsa
371,10548,Bengkel
372,10541,Counter pulsa
373,10481,Bengkel
374,10563,Cafe
375,10566,Toko Kelontong
376,10572,Toko Kelontong
377,10579,Cafe
378,10607,Cafe
379,10610,Counter pulsa
380,10619,Counter pulsa
381,10609,Olshop
382,10616,Restoran
383,10622,Restoran
384,10618,Counter pulsa
385,10633,Toko Kelontong
386,10675,Olshop
387,10679,Cafe
388,10654,Cafe
389,10713,Olshop
390,2346,Counter pulsa
391,9875,Cafe
392,10075,Cafe
393,10804,Olshop
394,10811,Toko Kelontong
395,10815,Toko Kelontong
396,10818,Counter pulsa
397,10386,Olshop
398,10835,Counter pulsa
399,4884,Olshop
400,9572,Minimarket
401,10908,Minimarket
402,10966,Kaki Lima
403,8542,Kaki Lima
404,11000,Toko Kelontong
405,11032,Toko Kelontong
406,11046,Cafe
407,10976,Counter pulsa
408,11059,Restoran
409,11100,Minimarket
410,11104,Butik
411,11114,Olshop
412,11031,Toko Kelontong
413,11126,Toko Kelontong
414,11159,Toko Kelontong
415,11195,Toko Kelontong
416,11197,Toko Kelontong
417,11182,Butik
418,11216,Cafe
419,11220,Olshop
420,11290,Cafe
421,11298,Butik
422,11223,Cafe
423,11311,Cafe
424,11285,Olshop
425,11326,Cafe
426,11359,Toko Kelontong
427,11372,Restoran
428,11385,Toko Kelontong
429,11394,Olshop
430,11317,Toko Kelontong
431,10141,Cafe
432,11452,Toko Kelontong
433,11478,Warung
434,11507,Toko Kelontong
435,11529,Butik
436,11534,Toko Kelontong
437,11533,Counter pulsa
438,11552,Toko Kelontong
439,11558,Counter pulsa
440,11579,Minimarket
441,11592,Butik
442,11608,Olshop
443,11612,Cafe
444,11620,Cafe
445,11649,Olshop
446,11691,Counter pulsa
447,11711,Cafe
448,11791,Cafe
449,11811,Cafe
450,11815,Butik
451,11822,Minimarket
452,11828,Cafe
453,11832,Toko Kelontong
454,11901,Cafe
455,11908,Counter pulsa
456,11929,Minimarket
457,11934,Counter pulsa
458,11990,Warung
459,5010,Cafe
460,12003,Toko Kelontong
461,12015,Minimarket
462,11977,Counter pulsa
463,12097,Olshop
464,12072,Toko Kelontong
465,12129,Olshop
466,12131,Counter pulsa
467,12141,Counter pulsa
468,12149,Minimarket
469,12146,Bengkel
470,12174,Toko Kelontong
471,12178,Olshop
472,12200,Cafe
473,12207,Minimarket
474,12156,Warung
475,1688,Kaki Lima
476,12267,Minimarket
477,12319,Olshop
478,12346,Cafe
479,12365,Olshop
480,12352,Cafe
481,12376,Toko Kelontong
482,12380,Toko Kelontong
483,12427,Toko Kelontong
484,12008,Bengkel
485,12405,Olshop
486,12488,Olshop
487,11315,Olshop
488,12579,Olshop
489,12611,Counter pulsa
490,12621,Olshop
491,12630,Toko Kelontong
492,12680,Toko Kelontong
493,12692,Butik
494,12628,Toko Kelontong
495,12719,Olshop
496,12679,Cafe
497,12299,Olshop
498,12782,Cafe
499,12794,Cafe
500,12683,Olshop
501,12789,Olshop
502,12806,Bengkel
503,12818,Toko Kelontong
504,12826,Warung
505,12830,Toko Kelontong
506,12849,Cafe
507,12862,Minimarket
508,12877,Toko Kelontong
509,12883,Warung
510,12884,Olshop
511,12524,Counter pulsa
512,12897,Butik
513,12914,Kaki Lima
514,12920,Olshop
515,12934,Toko Kelontong
516,12937,Warung
517,12944,Butik
518,12950,Toko Kelontong
519,12953,Cafe
520,12957,Bengkel
521,12954,Toko Kelontong
522,12958,Butik
523,12964,Olshop
524,12967,Toko Kelontong
525,12969,Cafe
526,12974,Counter pulsa
527,12973,Warung
528,12956,Cafe
529,12948,Cafe
530,12986,Toko Kelontong
531,12988,Counter pulsa
532,12991,Toko Kelontong
533,12940,Toko Kelontong
534,12993,Toko Kelontong
535,12995,Toko Kelontong
536,13000,Toko Kelontong
537,12941,Olshop
538,13005,Toko Kelontong
539,13007,Counter pulsa
540,13006,Toko Kelontong
541,13008,Counter pulsa
542,13010,Toko Kelontong
543,13012,Toko Kelontong
544,12428,Counter pulsa
545,13017,Butik
546,13023,Butik
547,12984,Olshop
548,13026,Toko Kelontong
549,13028,Toko Kelontong
550,11954,Cafe
551,13030,Counter pulsa
552,13014,Toko Kelontong
553,13037,Counter pulsa
554,13038,Cafe
555,13042,Toko Kelontong
556,13041,Counter pulsa
557,12947,Toko Kelontong
558,13046,Toko Kelontong
