Year,Time,Athlete,Place,Name
1972,11.07,Renate Stecher (GDR),Munich,1972: Renate Stecher (GDR)
1973,11.07,Renate Stecher (GDR),Dresden,1973: Renate Stecher (GDR)
1974,11.13,Irena Szewinska (POL),Rome,1974: Irena Szewinska (POL)
1975,11.13,Renate Stecher (GDR),Dresden,1975: Renate Stecher (GDR)
1976,11.01,Annegret Richter (FRG),Montreal,1976: Annegret Richter (FRG)
1977,10.88,Marlies Göhr (GDR),Dresden,1977: Marlies Göhr (GDR)
1978,10.94,Marlies Göhr (GDR),Dresden,1978: Marlies Göhr (GDR)
1979,10.97,Marlies Göhr (GDR),Dresden,1979: Marlies Göhr (GDR)
1979,10.97,Evelyn Ashford (USA),Walnut,1979: Evelyn Ashford (USA)
1980,10.93,Marlies Göhr (GDR),Dresden,1980: Marlies Göhr (GDR)
1981,10.9,Evelyn Ashford (USA),Colorado Springs,1981: Evelyn Ashford (USA)
1982,10.88,Marlies Göhr (GDR),Karl-Marx-Stadt,1982: Marlies Göhr (GDR)
1983,10.79,Evelyn Ashford (USA),Colorado Springs,1983: Evelyn Ashford (USA)
1984,10.76,Evelyn Ashford (USA),Zürich,1984: Evelyn Ashford (USA)
1985,10.86,Marlies Göhr (GDR),Berlin,1985: Marlies Göhr (GDR)
1986,10.88,Evelyn Ashford (USA),Rieti,1986: Evelyn Ashford (USA)
1987,10.86,Anelia Nuneva (BUL),Belgrade,1987: Anelia Nuneva (BUL)
1987,10.86,Silke Möller (GDR),Potsdam,1987: Silke Möller (GDR)
1988,10.49,Florence Griffith-Joyner (USA),Indianapolis,1988: Florence Griffith-Joyner (USA)
1989,10.78,Dawn Sowell (USA),Provo,1989: Dawn Sowell (USA)
1990,10.78,Merlene Ottey (JAM),Seville,1990: Merlene Ottey (JAM)
1991,10.79,Merlene Ottey (JAM),Vigo,1991: Merlene Ottey (JAM)
1992,10.8,Merlene Ottey (JAM),Salamanca,1992: Merlene Ottey (JAM)
1993,10.82,Gail Devers (USA),Lausanne,1993: Gail Devers (USA)
1993,10.82,Gail Devers (USA),Stuttgart,1993: Gail Devers (USA)
1993,10.82,Merlene Ottey (JAM),Stuttgart,1993: Merlene Ottey (JAM)
1994,10.77,Irina Privalova (RUS),Lausanne,1994: Irina Privalova (RUS)
1995,10.84,Gwen Torrence (USA),Gothenburg,1995: Gwen Torrence (USA)
1996,10.74,Merlene Ottey (JAM),Milan,1996: Merlene Ottey (JAM)
1997,10.76,Marion Jones (USA),Brussels,1997: Marion Jones (USA)
1998,10.65,Marion Jones (USA),Johannesburg,1998: Marion Jones (USA)
1999,10.7,Marion Jones (USA),Seville,1999: Marion Jones (USA)
2000,10.78,Marion Jones (USA),London,2000: Marion Jones (USA)
2001,10.82,Zhanna Block (UKR),Edmonton,2001: Zhanna Block (UKR)
2002,10.91,Debbie Ferguson-McKenzie (BAH),Manchester,2002: Debbie Ferguson-McKenzie (BAH)
2003,10.86,Chryste Gaines (USA),Monaco,2003: Chryste Gaines (USA)
2004,10.77,Ivet Lalova (BUL),Plovdiv,2004: Ivet Lalova (BUL)
2005,10.84,Chandra Sturrup (BAH),Lausanne,2005: Chandra Sturrup (BAH)
2006,10.82,Sherone Simpson (JAM),Kingston,2006: Sherone Simpson (JAM)
2007,10.89,Veronica Campbell-Brown (JAM),Kingston,2007: Veronica Campbell-Brown (JAM)
2008,10.78,Torri Edwards (USA),Eugene,2008: Torri Edwards (USA)
2008,10.78,Shelly-Ann Fraser (JAM),Beijing,2008: Shelly-Ann Fraser (JAM)
2009,10.64,Carmelita Jeter (USA),Shanghai,2009: Carmelita Jeter (USA)
2010,10.78,Veronica Campbell-Brown (JAM),Eugene,2010: Veronica Campbell-Brown (JAM)
2011,10.7,Carmelita Jeter (USA),Eugene,2011: Carmelita Jeter (USA)
2012,10.7,Shelly-Ann Fraser-Pryce (JAM),Kingston,2012: Shelly-Ann Fraser-Pryce (JAM)
2013,10.71,Shelly-Ann Fraser-Pryce (JAM),Moscow,2013: Shelly-Ann Fraser-Pryce (JAM)
2014,10.8,Tori Bowie (USA),Monaco,2014: Tori Bowie (USA)
2015,10.74,Shelly-Ann Fraser-Pryce (JAM),Saint-Denis,2015: Shelly-Ann Fraser-Pryce (JAM)
2016,10.7,Elaine Thompson (JAM),Kingston,2016: Elaine Thompson (JAM)
2017,10.71,Elaine Thompson (JAM),Kingston,2017: Elaine Thompson (JAM)
2018,10.85,Marie-Josée Ta Lou (CIV),Doha,2018: Marie-Josée Ta Lou (CIV)
2018,10.85,Dina Asher-Smith (GBR),Berlin,2018: Dina Asher-Smith (GBR)
2019,10.71,Shelly-Ann Fraser-Pryce (JAM),Doha,2019: Shelly-Ann Fraser-Pryce (JAM)
2020,10.85,Elaine Thompson-Herah (JAM),Rome,2020: Elaine Thompson-Herah (JAM)
2021,10.54,Elaine Thompson-Herah (JAM),Eugene,2021: Elaine Thompson-Herah (JAM)
2022,10.62,Shelly-Ann Fraser-Pryce (JAM),Monaco,2022: Shelly-Ann Fraser-Pryce (JAM)
