id_user,total_transaksi,rank,F Score
3437,1729,1,15
5535,777,2,15
4614,455,3,15
5232,413,4,15
5354,259,5,15
4412,257,6,15
6902,208,7,15
6736,152,8,15
6608,116,9,15
4286,108,10,15
6642,68,11,15
3073,67,12,15
5331,65,13,15
4890,64,14,15
3487,63,15,15
5539,60,16,15
5345,59,17,15
6214,58,18,15
4739,57,19,15
5104,55,20,14
5229,51,21,14
4045,47,22,14
6901,44,23,14
5496,37,24,14
6514,37,24,14
6718,32,26,14
4766,29,27,14
7239,27,28,14
4966,26,29,14
7062,25,30,14
4189,22,31,14
4213,22,31,14
4214,21,33,14
7000,21,33,14
7910,21,33,14
3690,19,36,14
7560,19,36,14
6349,18,38,14
2926,16,39,13
5396,16,39,13
8164,16,39,13
8181,16,39,13
6589,15,43,13
3936,14,44,13
3982,14,44,13
4979,14,44,13
7103,14,44,13
3230,13,48,13
8416,13,48,13
3945,12,50,13
4252,12,50,13
5012,12,50,13
6612,12,50,13
8056,12,50,13
7868,12,50,13
3779,11,56,13
5748,11,56,13
7498,11,56,12
7617,11,56,12
7921,11,56,12
7037,10,61,12
7701,10,61,12
2602,9,63,12
4627,9,63,12
4903,9,63,12
5728,9,63,12
5033,9,63,12
4336,8,68,12
4500,8,68,12
5870,8,68,12
5995,8,68,12
3494,7,72,12
3552,7,72,12
4783,7,72,12
5407,7,72,12
6085,7,72,12
6189,7,72,11
6301,7,72,11
6532,7,72,11
7156,7,72,11
7694,7,72,11
8794,7,72,11
3415,6,83,11
3624,6,83,11
4950,6,83,11
5885,6,83,11
6563,6,83,11
7064,6,83,11
43,6,83,11
7839,6,83,11
7970,6,83,11
8006,6,83,11
7244,6,83,11
8663,6,83,11
3613,5,95,11
4207,5,95,10
4568,5,95,10
5178,5,95,10
5626,5,95,10
307,5,95,10
6628,5,95,10
7685,5,95,10
8807,5,95,10
3371,4,104,10
3616,4,104,10
4012,4,104,10
4130,4,104,10
4411,4,104,10
4962,4,104,10
5302,4,104,10
5403,4,104,10
5476,4,104,10
6013,4,104,10
6228,4,104,10
6337,4,104,9
6717,4,104,9
7817,4,104,9
7989,4,104,9
8092,4,104,9
8336,4,104,9
8226,4,104,9
8443,4,104,9
8659,4,104,9
3462,3,124,9
3631,3,124,9
3661,3,124,9
4306,3,124,9
4546,3,124,9
5022,3,124,9
5173,3,124,9
5376,3,124,9
5527,3,124,9
5922,3,124,9
7320,3,124,8
7478,3,124,8
7653,3,124,8
7680,3,124,8
7721,3,124,8
7960,3,124,8
8246,3,124,8
2874,2,141,8
3448,2,141,8
3517,2,141,8
3640,2,141,8
3784,2,141,8
3793,2,141,8
3895,2,141,8
4026,2,141,8
4791,2,141,8
4928,2,141,8
5037,2,141,8
5151,2,141,8
5309,2,141,7
5321,2,141,7
5429,2,141,7
5653,2,141,7
5742,2,141,7
5771,2,141,7
5996,2,141,7
6134,2,141,7
6616,2,141,7
6646,2,141,7
2542,2,141,7
6734,2,141,7
6757,2,141,7
6981,2,141,7
7048,2,141,7
7059,2,141,7
7106,2,141,7
7429,2,141,7
7440,2,141,7
7388,2,141,6
7610,2,141,6
7678,2,141,6
8068,2,141,6
8108,2,141,6
8155,2,141,6
8286,2,141,6
8751,2,141,6
8819,2,141,6
8897,2,141,6
2854,1,182,6
2887,1,182,6
2939,1,182,6
2967,1,182,6
3197,1,182,6
3429,1,182,6
3537,1,182,6
3568,1,182,6
3682,1,182,6
3708,1,182,5
3250,1,182,5
3888,1,182,5
3991,1,182,5
4031,1,182,5
4490,1,182,5
4486,1,182,5
4538,1,182,5
4547,1,182,5
4778,1,182,5
4993,1,182,5
4997,1,182,5
5042,1,182,5
5077,1,182,5
5135,1,182,5
5263,1,182,5
5351,1,182,5
5431,1,182,5
5473,1,182,5
5736,1,182,4
5772,1,182,4
5805,1,182,4
5815,1,182,4
5823,1,182,4
5648,1,182,4
5976,1,182,4
5931,1,182,4
6331,1,182,4
6376,1,182,4
6393,1,182,4
6609,1,182,4
6671,1,182,4
6675,1,182,4
6679,1,182,4
6686,1,182,4
6722,1,182,4
6725,1,182,4
6870,1,182,4
6895,1,182,3
6933,1,182,3
7065,1,182,3
7270,1,182,3
7547,1,182,3
7592,1,182,3
7618,1,182,3
7681,1,182,3
7731,1,182,3
7749,1,182,3
7759,1,182,3
7807,1,182,3
7849,1,182,3
7945,1,182,3
8020,1,182,3
8199,1,182,3
8206,1,182,3
8351,1,182,3
8379,1,182,3
7376,1,182,2
8597,1,182,2
8614,1,182,2
8717,1,182,2
8780,1,182,2
8883,1,182,2
8072,1,182,2
8891,1,182,2
8810,1,182,2
51,0,257,2
4121,0,257,2
4258,0,257,2
4492,0,257,2
4777,0,257,2
4880,0,257,2
5058,0,257,2
5141,0,257,2
4924,0,257,2
5317,0,257,2
5511,0,257,1
5514,0,257,1
6081,0,257,1
6357,0,257,1
6254,0,257,1
6437,0,257,1
6469,0,257,1
6513,0,257,1
6873,0,257,1
7067,0,257,1
4657,0,257,1
7168,0,257,1
7479,0,257,1
7624,0,257,1
7797,0,257,1
7913,0,257,1
3316,0,257,1
8318,0,257,1
8369,0,257,1
8475,0,257,1
8600,0,257,1
