id_user,total_pembayaran,Rank,M Score
3945,814467024,1,15
3437,300536200,2,15
3487,182822000,3,15
4412,63606380,4,15
5535,53024000,5,15
7059,50026300,6,15
7560,42628000,7,15
6608,29631010,8,15
6736,26701400,9,15
3779,25626300,10,15
4614,20686232,11,15
6902,19087000,12,15
5539,19033000,13,15
5042,17000000,14,15
4903,16738000,15,15
4766,16302750,16,15
4890,16092000,17,15
3690,14983500,18,15
6901,13896000,19,15
8794,13196400,20,14
5995,11692500,21,14
5870,11320000,22,14
6349,10500000,23,14
5321,10444500,24,14
7498,10391100,25,14
7062,8068940,26,14
7701,7209000,27,14
8164,7193620,28,14
5354,6747050,29,14
7239,6620000,30,14
3073,6063564,31,14
3936,5795200,32,14
4045,5467000,33,14
3230,5438000,34,14
5104,4777000,35,14
5232,4230000,36,14
4979,3875000,37,14
5748,3665000,38,14
7000,3401000,39,13
43,3323050,40,13
5331,3215297,41,13
3613,3000000,42,13
6718,2906000,43,13
7685,2740000,44,13
4966,2566500,45,13
5496,2392000,46,13
6532,2340000,47,13
6642,2246000,48,13
3982,2245150,49,13
7921,1986150,50,13
6717,1935000,51,13
4031,1925000,52,13
4189,1748500,53,13
5345,1743000,54,13
4286,1658500,55,13
8807,1596500,56,13
3552,1535500,57,13
5033,1524700,58,12
6589,1512000,59,12
6514,1493000,60,12
4336,1444000,61,12
4739,1426499,62,12
7653,1405950,63,12
4213,1338610,64,12
8780,1300000,65,12
5012,1275524,66,12
4627,1146000,67,12
7970,1115000,68,12
8379,1086000,69,12
8181,1060500,70,12
7037,1003300,71,12
3616,997500,72,12
4214,995500,73,12
5396,971400,74,12
2542,968400,75,12
2602,937000,76,12
6616,900650,77,11
7320,880000,78,11
3640,864000,79,11
7064,835000,80,11
6675,805000,81,11
4252,794000,82,11
5229,766500,83,11
6301,765000,84,11
7156,726000,85,11
3494,708000,86,11
7839,705000,87,11
5302,680000,88,11
5037,676000,89,11
5728,667000,90,11
7910,633500,91,11
8663,628000,92,11
8006,626000,93,11
6646,625000,94,11
5407,623740,95,11
8092,620000,96,10
3661,608000,97,10
5151,600000,98,10
5742,600000,98,10
8416,576900,100,10
3371,560000,101,10
7617,519200,102,10
7868,516000,103,10
4928,510000,104,10
6013,490000,105,10
6933,475000,106,10
8056,460000,107,10
7103,452000,108,10
3517,443500,109,10
6686,430000,110,10
3682,420000,111,10
6895,415000,112,10
7244,403500,113,10
8751,400000,114,10
4306,384000,115,9
6612,368000,116,9
3708,350000,117,9
6337,323150,118,9
8443,313000,119,9
5653,310000,120,9
8020,307000,121,9
5431,300000,122,9
5626,296000,123,9
5771,294000,124,9
5885,291000,125,9
8155,290000,126,9
2926,277340,127,9
5429,276000,128,9
3415,267000,129,9
8659,266400,130,9
5648,264000,131,9
